#, AB, Date, Time Stamp, Pitch, Strike Zone, P. Type, Velo, LA, Dist, Res, Type, Horiz. Angle, Pts, Strike Zone Bottom, Strike Zone Top, Strike Zone Width, Vertical Distance, Horizontal Distance, POI X, POI Y, POI Z, Spray Chart X, Spray Chart Z, Fielded X, Fielded Z, Bat Material, User, Pitch Angle, Batting, Level, Opposing Player, Tag
1, 1, 9/9/2024 09:51:27.325, 0:0:0.000, 22.8, 8, OT, 75.0, 14.8, 175, F6, LD, -17, 29, 23.5, 43.1, 17.0, -5.0, 0.0, 0.00, 0.00, 0.00, -49.6, 167.6, -41.4, 139.9, Undefined, Beau Root, -11.6, Left, Baseball - College, , 
2, 2, 9/9/2024 09:51:32.612, 0:0:5.287, 23.2, 8, OT, 83.1, -7.3, 14, 1B-8, GB, 7, 14, 23.5, 43.1, 17.0, -4.5, -1.2, 2.75, 25.39, 1.60, 1.9, 14.8, 24.9, 213.7, Undefined, Beau Root, -11.1, Left, Baseball - College, , 
3, 3, 9/9/2024 09:51:38.917, 0:0:11.592, 0.0, , OT, 44.0, 38.3, 108, F5, FB, -23, 0, 23.5, 43.1, 17.0, -33.3, 0.0, 0.00, 0.00, 0.00, -41.0, 99.8, -37.9, 92.5, Undefined, Beau Root, 0.0, Left, Baseball - College, , 
4, 3, 9/9/2024 09:51:46.138, 0:0:18.812, 23.6, 1, OT, 72.3, 10.4, 131, 1B-8, LD, -6, 23, 23.5, 43.1, 17.0, 5.2, -4.8, 0.00, 0.00, 0.00, -12.6, 130.7, -22.3, 226.9, Undefined, Beau Root, -7.8, Left, Baseball - College, , 
5, 5, 9/9/2024 09:51:52.100, 0:0:24.775, 0.0, , OT, 77.4, 17.1, 206, 1B-8, LD, 4, 43, 23.5, 43.1, 17.0, -33.3, 0.0, 0.00, 0.00, 0.00, 13.6, 205.2, 16.1, 242.7, Undefined, Beau Root, 0.0, Left, Baseball - College, , 
6, 1, 9/9/2024 10:01:36.698, 0:10:9.372, 49.0, 6, OT, 88.3, 5.4, 117, 1B-8, GB, -3, 54, 23.5, 43.1, 17.0, 1.2, 8.0, -7.57, 33.35, 10.50, -6.7, 117.8, -13.5, 246.8, Undefined, Beau Root, -9.5, Left, Baseball - College, , 
7, 1, 9/9/2024 10:01:44.734, 0:10:17.409, 50.5, 8, OT, 93.1, 0.0, 46, 1B-8, GB, 6, 55, 23.5, 43.1, 17.0, -8.7, 0.8, -0.36, 23.36, 10.75, 4.9, 48.7, 25.5, 249.9, Undefined, Beau Root, -10.7, Left, Baseball - College, , 
8, 2, 9/9/2024 10:01:50.948, 0:10:23.623, 49.5, 11, OT, 89.9, -3.1, 31, 1B-8, GB, -4, 40, 23.5, 43.1, 17.0, 0.3, 9.0, 0.00, 0.00, 0.00, -3.0, 31.6, -18.2, 239.2, Undefined, Beau Root, -9.1, Left, Baseball - College, , 
9, 4, 9/9/2024 10:01:57.798, 0:10:30.473, 50.3, 6, OT, 76.6, 37.4, 270, F8, FB, -11, 32, 23.5, 43.1, 17.0, -1.5, 2.8, -2.33, 30.52, 9.39, -50.8, 265.4, -49.7, 259.7, Undefined, Beau Root, -9.5, Left, Baseball - College, , 
10, 5, 9/9/2024 10:02:04.662, 0:10:37.337, 49.5, 6, OT, 82.8, 39.9, 301, F8, FB, -4, 46, 23.5, 43.1, 17.0, 1.0, 5.5, 0.00, 0.00, 0.00, -23.0, 299.7, -22.6, 294.6, Undefined, Beau Root, -9.1, Left, Baseball - College, , 
11, 6, 9/9/2024 10:06:47.505, 0:15:20.180, 51.5, 5, OT, 95.3, 21.5, 340, 2B-8, LD, 14, 96, 23.5, 43.1, 17.0, -3.3, -1.9, 2.84, 27.98, 5.47, 81.4, 330.0, 69.5, 361.8, Undefined, Matt Garbowski, -9.7, Left, Baseball - Professional, , 
12, 7, 9/9/2024 10:07:10.229, 0:15:42.904, 50.6, 6, OT, 94.3, 11.5, 219, 1B-8, LD, -5, 90, 23.5, 43.1, 17.0, -2.6, 3.5, 0.00, 0.00, 0.00, -19.1, 217.9, -22.7, 259.8, Undefined, Beau Root, -9.4, Left, Baseball - College, , 
13, 1, 9/9/2024 10:07:17.262, 0:15:49.937, 51.4, 12, OT, 0, , , , , , 0, 23.5, 43.1, 17.0, -13.3, -7.0, 0.00, 0.00, 0.00, 0.0, 0.0, 0.0, 0.0, Undefined, Beau Root, -10.8, Left, Baseball - College, , 
14, 8, 9/9/2024 10:07:22.750, 0:15:55.425, 50.2, 6, OT, 81.4, -21.2, 9, 4-3, GB, 16, 0, 23.5, 43.1, 17.0, 3.2, 4.2, -3.90, 35.69, 12.06, 1.9, 9.1, 27.5, 101.1, Undefined, Beau Root, -8.8, Left, Baseball - College, , 
15, 9, 9/9/2024 10:12:33.476, 0:21:6.151, 50.4, 4, OT, 66.8, 53.0, 178, F6, FB, -12, 0, 23.5, 43.1, 17.0, 0.0, -3.0, 3.35, 32.65, 13.35, -37.5, 174.4, -36.8, 171.0, Undefined, Beau Root, -9.2, Left, Baseball - College, , 
16, 10, 9/9/2024 10:12:40.401, 0:21:13.076, 50.3, 5, OT, 89.3, 17.3, 266, 2B-8, LD, -14, 83, 23.5, 43.1, 17.0, 0.0, -0.2, 1.08, 31.59, 6.85, -64.2, 257.8, -89.5, 359.0, Undefined, Beau Root, -9.2, Left, Baseball - College, , 
17, 11, 9/9/2024 10:12:47.203, 0:21:19.878, 49.8, 8, OT, 91.4, 7.0, 143, F4, LD, 20, 63, 23.5, 43.1, 17.0, -5.7, 1.3, -1.34, 27.74, 18.04, 50.0, 136.6, 41.8, 114.6, Undefined, Beau Root, -10.0, Left, Baseball - College, , 
18, 1, 9/9/2024 10:12:54.637, 0:21:27.312, 51.4, 12, OT, 0, , , , , , 0, 23.5, 43.1, 17.0, -10.7, -8.3, 0.00, 0.00, 0.00, 0.0, 0.0, 0.0, 0.0, Undefined, Beau Root, -10.2, Left, Baseball - College, , 
19, 1, 9/9/2024 10:13:01.697, 0:21:34.372, 51.5, 12, OT, 0, , , , , , 0, 23.5, 43.1, 17.0, -12.0, -9.1, 0.00, 0.00, 0.00, 0.0, 0.0, 0.0, 0.0, Undefined, Beau Root, -10.8, Left, Baseball - College, , 
20, 1, 9/9/2024 10:13:09.023, 0:21:41.698, 51.6, 8, OT, 92.7, -1.2, 34, 4-3, GB, 14, 46, 23.5, 43.1, 17.0, -9.2, -1.3, 1.92, 22.79, 9.95, 8.5, 35.5, 28.2, 117.3, Undefined, Beau Root, -10.2, Left, Baseball - College, , 
21, 12, 9/9/2024 10:13:21.933, 0:21:54.608, 51.1, 3, OT, 85.5, -18.4, 10, 4-3, GB, 8, 0, 23.5, 43.1, 17.0, 4.3, 5.4, -4.64, 35.73, 5.15, 1.0, 9.8, 16.0, 114.3, Undefined, Beau Root, -8.6, Left, Baseball - College, , 
22, 2, 9/9/2024 10:13:28.589, 0:22:1.263, 51.4, 12, OT, 79.7, 25.1, 269, F9, LD, 23, 49, 23.5, 43.1, 17.0, -16.3, -5.8, 5.45, 17.75, 20.63, 103.2, 248.8, 98.9, 238.5, Undefined, Beau Root, -11.4, Left, Baseball - College, , 
23, 13, 9/9/2024 10:16:25.440, 0:24:58.115, 50.5, 9, OT, 81.4, 30.2, 297, 2B-8, FB, -16, 61, 23.5, 43.1, 17.0, -4.4, 5.2, -4.82, 27.40, 8.93, -83.6, 285.2, -100.3, 342.3, Undefined, Beau Root, -10.2, Left, Baseball - College, , 
24, 2, 9/9/2024 10:16:38.351, 0:25:11.026, 51.9, 8, OT, 94.3, 3.1, 87, 6-3, GB, -12, 63, 23.5, 43.1, 17.0, -8.1, 2.7, -1.98, 22.95, 4.91, -18.7, 86.5, -26.6, 123.4, Undefined, Beau Root, -10.4, Left, Baseball - College, , 
