base_state,outs,runs
___,0,0
___,0,0
___,0,0
___,0,0
_23,0,2
___,1,0
_2_,1,1
_23,1,2
___,2,0
___,2,0
___,2,0
1__,2,1
1__,2,0
_2_,2,1
___,0,0
___,0,0
___,0,0
1__,0,0
___,1,0
___,1,0
___,1,0
1__,1,0
_2_,1,0
12_,1,1
123,1,2
___,2,0
1__,2,0
12_,2,2
___,0,0
___,0,0
___,0,0
___,0,0
___,0,0
1__,0,1
_2_,0,1
___,1,0
_23,1,2
___,2,0
_2_,2,1
12_,2,1
___,0,0
___,0,0
___,1,0
___,1,0
12_,1,2
12_,2,2
1__,0,1
123,1,2
1_3,1,1
___,2,0
___,1,0
12_,2,2
___,0,0
___,1,0
___,1,0
_2_,1,1
1_3,1,1
___,2,0
1__,2,0
___,0,0
___,0,0
___,0,0
___,0,0
1_3,0,1
___,1,0
___,1,0
1__,1,0
12_,1,1
12_,1,1
12_,1,1
___,2,0
___,2,0
___,2,0
1__,2,0
_2_,2,1
_2_,2,1
_2_,2,1
_2_,2,1
___,0,0
___,0,0
___,0,0
___,0,0
___,0,0
1__,0,0
___,1,0
___,1,0
___,1,0
___,1,0
___,1,0
1__,1,0
___,0,0
___,0,0
1__,0,0
1__,0,0
___,1,0
___,1,0
1__,2,1
1__,2,1
1__,2,0
123,2,3
___,0,0
___,0,0
___,0,0
___,0,0
___,0,0
___,1,0
_2_,1,1
_2_,1,1
_23,1,2
_23,1,2
_2_,2,1
___,0,0
1__,0,0
___,1,0
1__,2,0
___,0,0
___,1,0
1__,2,1
