FIRST,LAST ,YEAR,,Pitches,G,PA,(BF),AB,BIP,H,1B,2B,3B,HR,,ROE,BB,IBB,K,HBP,SH,SF,AVG,OBP,SLG,OPS
,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben,Schild,2024,,396,8,93,75,57,17,12,4,0,1,8,,0,15,0,19,2,0,1,0.227,0.366,0.32,0.686
Brady,Afthim,2024,,456,22,111,87,65,17,15,0,0,2,15,,3,13,1,27,5,3,2,0.195,0.333,0.264,0.597
Brady,Afthim,2023,,399,23,100,81,63,17,11,3,0,3,10,,2,13,0,21,3,1,2,0.21,0.333,0.358,0.691
Gabe,Van Emon,2024,,948,16,242,211,160,54,41,5,2,6,27,,2,22,0,55,5,2,2,0.256,0.338,0.384,0.722
Gabe,Van Emon,2023,,895,9,219,198,131,36,29,6,1,0,5,,2,15,0,69,4,2,0,0.182,0.253,0.222,0.475
Greg,Shaw,2024,,676,12,177,148,110,38,27,8,0,3,23,,2,21,0,40,5,2,1,0.257,0.366,0.372,0.738
Ian,Cooke,2024,,1078,16,279,250,166,56,35,9,1,11,34,,1,25,0,85,3,1,0,0.224,0.302,0.4,0.702
Ian,Cooke,2023,,8778,57,2270,1950,1487,524,381,72,7,64,289,,33,230,0,502,50,22,18,0.269,0.358,0.411,0.769
Jack,Sullivan,2024,,238,16,60,53,38,12,7,2,0,3,12,,3,6,0,15,1,0,0,0.226,0.317,0.434,0.751
Jack,Sullivan,2023,,656,13,178,159,134,53,40,6,0,7,25,,1,16,0,26,2,0,1,0.333,0.399,0.503,0.902
Joe,Carrera,2024,,204,16,52,44,31,17,9,1,1,6,13,,0,7,0,14,0,1,0,0.386,0.471,0.864,1.335
Joe,Carerra,2023,,180,6,43,36,25,8,2,2,0,4,8,,1,5,0,12,1,0,1,0.222,0.326,0.611,0.937
Paxton,Meyers,2024,,1116,11,302,251,201,64,37,18,2,7,35,,7,39,0,58,4,7,1,0.255,0.363,0.426,0.789
Paxton,Meyers,2023,,622,6,145,120,80,21,17,2,0,2,14,,2,22,0,40,3,0,0,0.175,0.317,0.242,0.559
Sam,Hutchinson,2024,,246,7,66,60,51,14,10,1,0,3,6,,0,5,0,10,0,1,0,0.233,0.292,0.4,0.692
Thomas,Ellisen,2024,,317,16,85,63,57,16,11,2,0,3,17,,1,13,0,9,6,2,1,0.254,0.422,0.429,0.851
Thomas,Ellisen,2023,,803,22,221,190,156,58,43,7,0,8,28,,4,23,0,38,4,3,1,0.305,0.39,0.468,0.858
